"","Date","sulfate","nitrate","ID"
"279","2003-10-06",7.21,0.651,1
"285","2003-10-12",5.99,0.428,1
"291","2003-10-18",4.68,1.04,1
"297","2003-10-24",3.47,0.363,1
"303","2003-10-30",2.42,0.507,1
"315","2003-11-11",1.43,0.474,1
"321","2003-11-17",2.76,0.425,1
"327","2003-11-23",3.41,0.964,1
"333","2003-11-29",1.3,0.491,1
"339","2003-12-05",3.15,0.669,1
"345","2003-12-11",2.87,0.4,1
"357","2003-12-23",2.27,0.715,1
"363","2003-12-29",2.33,0.554,1
"369","2004-01-04",1.84,0.803,1
"375","2004-01-10",7.13,0.518,1
"387","2004-01-22",2.05,1.4,1
"393","2004-01-28",2.05,0.979,1
"399","2004-02-03",2.58,0.632,1
"405","2004-02-09",3.26,0.506,1
"417","2004-02-21",3.54,0.671,1
"423","2004-02-27",4.4,0.602,1
"429","2004-03-04",2.04,0.815,1
"435","2004-03-10",4.36,1.08,1
"441","2004-03-16",3.46,0.351,1
"447","2004-03-22",2.99,0.486,1
"453","2004-03-28",2,0.34,1
"477","2004-04-21",2.42,0.531,1
"501","2004-05-15",2.76,0.52,1
"555","2004-07-08",1.48,0.186,1
"561","2004-07-14",3.54,0.576,1
"567","2004-07-20",6.63,0.118,1
"573","2004-07-26",10.9,0.295,1
"579","2004-08-01",1.63,0.372,1
"585","2004-08-07",5.76,0.193,1
"591","2004-08-13",5.52,0.173,1
"597","2004-08-19",12.2,0.223,1
"603","2004-08-25",4.98,0.227,1
"609","2004-08-31",4.39,0.236,1
"615","2004-09-06",1.65,0.479,1
"621","2004-09-12",4.53,0.14,1
"627","2004-09-18",4.3,0.203,1
"639","2004-09-30",15.8,0.472,1
"645","2004-10-06",5.44,0.665,1
"651","2004-10-12",3.09,0.466,1
"657","2004-10-18",3.61,0.372,1
"663","2004-10-24",4.19,0.221,1
"669","2004-10-30",7.37,0.59,1
"675","2004-11-05",2.68,0.219,1
"687","2004-11-17",2.21,0.568,1
"693","2004-11-23",1.99,0.337,1
"699","2004-11-29",1.78,0.739,1
"705","2004-12-05",2.03,1.2,1
"711","2004-12-11",2.11,0.429,1
"717","2004-12-17",1.82,0.941,1
"723","2004-12-23",2.37,0.57,1
"729","2004-12-29",3.41,1.16,1
"741","2005-01-10",4.96,0.537,1
"747","2005-01-16",2.3,0.719,1
"753","2005-01-22",4.67,1.77,1
"759","2005-01-28",2.87,1.2,1
"765","2005-02-03",1.53,0.46,1
"771","2005-02-09",1.28,0.378,1
"783","2005-02-21",4.17,0.553,1
"789","2005-02-27",2.75,0.479,1
"795","2005-03-05",2.83,1.61,1
"801","2005-03-11",1.22,0.902,1
"807","2005-03-17",4.19,0.993,1
"813","2005-03-23",1.92,0.233,1
"819","2005-03-29",2.55,0.215,1
"825","2005-04-04",2.18,0.211,1
"831","2005-04-10",2.93,0.286,1
"837","2005-04-16",2.79,0.421,1
"843","2005-04-22",2.74,0.409,1
"849","2005-04-28",2.02,0.222,1
"855","2005-05-04",4.73,0.285,1
"861","2005-05-10",5.84,0.189,1
"867","2005-05-16",4.64,0.204,1
"873","2005-05-22",4.79,0.299,1
"879","2005-05-28",6.65,0.276,1
"885","2005-06-03",2.09,0.29,1
"897","2005-06-15",4.85,0.266,1
"903","2005-06-21",7.25,0.355,1
"909","2005-06-27",3.22,0.205,1
"915","2005-07-03",3.81,0.322,1
"921","2005-07-09",2.85,0.331,1
"927","2005-07-15",1.36,0.25,1
"933","2005-07-21",1.85,0.177,1
"939","2005-07-27",13,0.178,1
"945","2005-08-02",2.57,0.503,1
"951","2005-08-08",2.68,0.191,1
"957","2005-08-14",5.42,0.209,1
"963","2005-08-20",9.52,0.193,1
"969","2005-08-26",7.68,0.404,1
"975","2005-09-01",6.65,0.226,1
"987","2005-09-13",19.1,0.149,1
"993","2005-09-19",6.04,0.188,1
"999","2005-09-25",2.8,0.342,1
"1005","2005-10-01",5.52,0.382,1
"1011","2005-10-07",1.82,0.267,1
"1023","2005-10-19",4.88,0.363,1
"1029","2005-10-25",2.28,0.283,1
"1035","2005-10-31",5.51,0.446,1
"1041","2005-11-06",2.41,0.302,1
"1053","2005-11-18",1.63,0.559,1
"1059","2005-11-24",1.67,0.743,1
"1065","2005-11-30",0.959,0.312,1
"1071","2005-12-06",2.74,1.83,1
"1077","2005-12-12",0.613,0.326,1
"1083","2005-12-18",2.37,1.1,1
"1089","2005-12-24",2.24,1.8,1
"1095","2005-12-30",2.53,1.01,1
"1101","2006-01-05",3.5,1.61,1
"1137","2006-02-10",2.6,1.48,1
"1143","2006-02-16",2.7,1.03,1
"1149","2006-02-22",3.74,0.657,1
"1155","2006-02-28",2.64,0.577,1
"1161","2006-03-06",4.82,1.14,1
"19","2001-01-19",2.3,0.699,2
"25","2001-01-25",2.19,4.97,2
"31","2001-01-31",1.2,1.33,2
"34","2001-02-03",2.23,1.91,2
"37","2001-02-06",4.15,1.39,2
"40","2001-02-09",3,0.867,2
"43","2001-02-12",4.04,1.41,2
"46","2001-02-15",4.79,0.582,2
"49","2001-02-18",2.05,3.57,2
"52","2001-02-21",7.93,2.21,2
"55","2001-02-24",7.74,0.735,2
"58","2001-02-27",2.63,1.57,2
"61","2001-03-02",3.8,1.37,2
"64","2001-03-05",3.52,3.85,2
"67","2001-03-08",3.7,1.79,2
"70","2001-03-11",3.9,1.63,2
"73","2001-03-14",2.72,1.18,2
"76","2001-03-17",5.95,0.655,2
"79","2001-03-20",2.11,0.764,2
"82","2001-03-23",6.4,2.81,2
"85","2001-03-26",2.67,2.61,2
"88","2001-03-29",3.92,2.19,2
"91","2001-04-01",2.06,0.881,2
"94","2001-04-04",1.89,1.17,2
"97","2001-04-07",7.56,0.681,2
"100","2001-04-10",6.87,1.12,2
"106","2001-04-16",3,0.596,2
"109","2001-04-19",3.42,1.16,2
"112","2001-04-22",3.76,0.713,2
"115","2001-04-25",3.11,1.57,2
"121","2001-05-01",11.1,1,2
"124","2001-05-04",4.6,0.859,2
"127","2001-05-07",10.3,0.801,2
"130","2001-05-10",4.7,1.23,2
"133","2001-05-13",3.54,0.739,2
"139","2001-05-19",5.29,0.638,2
"142","2001-05-22",1.51,0.505,2
"145","2001-05-25",1.5,0.531,2
"148","2001-05-28",4.38,0.615,2
"151","2001-05-31",3.2,0.866,2
"157","2001-06-06",2.78,0.769,2
"160","2001-06-09",10.7,0.688,2
"166","2001-06-15",3.63,0.725,2
"169","2001-06-18",8.12,0.529,2
"172","2001-06-21",6.83,0.723,2
"175","2001-06-24",6.57,1.02,2
"178","2001-06-27",3.92,0.561,2
"181","2001-06-30",2.89,0.394,2
"184","2001-07-03",3.15,0.661,2
"187","2001-07-06",6.43,1.57,2
"190","2001-07-09",6.04,0.337,2
"193","2001-07-12",12.2,0.466,2
"196","2001-07-15",12.1,0.522,2
"199","2001-07-18",13.4,0.873,2
"202","2001-07-21",10.5,1.29,2
"205","2001-07-24",13.5,0.96,2
"208","2001-07-27",2.67,0.576,2
"211","2001-07-30",4.63,0.421,2
"217","2001-08-05",6.28,0.587,2
"220","2001-08-08",5.85,0.487,2
"223","2001-08-11",3.74,1,2
"226","2001-08-14",8.36,0.979,2
"229","2001-08-17",11.4,0.875,2
"232","2001-08-20",4.41,0.544,2
"235","2001-08-23",9.62,0.911,2
"238","2001-08-26",10.8,0.472,2
"241","2001-08-29",3.29,1.08,2
"244","2001-09-01",3.64,1.35,2
"247","2001-09-04",3.11,0.485,2
"250","2001-09-07",4.36,0.341,2
"253","2001-09-10",4.33,0.34,2
"256","2001-09-13",12.5,1.09,2
"259","2001-09-16",8.55,0.803,2
"262","2001-09-19",6.85,0.365,2
"265","2001-09-22",5.73,0.778,2
"271","2001-09-28",3.52,0.763,2
"274","2001-10-01",4.38,0.829,2
"277","2001-10-04",8.26,1.5,2
"283","2001-10-10",2.06,0.586,2
"286","2001-10-13",1.85,0.617,2
"289","2001-10-16",1.05,0.293,2
"292","2001-10-19",4.3,1.18,2
"301","2001-10-28",2.84,0.755,2
"304","2001-10-31",4.61,1.18,2
"307","2001-11-03",4.52,0.933,2
"310","2001-11-06",4.25,1.05,2
"313","2001-11-09",7.31,3.32,2
"316","2001-11-12",4.71,1.37,2
"319","2001-11-15",4.94,1.26,2
"322","2001-11-18",7.38,1.23,2
"325","2001-11-21",1.9,1.73,2
"343","2001-12-09",5.17,5.18,2
"352","2001-12-18",2.51,0.705,2
